date,close,high,last,low,open,max_volume,avg_volume
2020-05-29T15:30:49+0000,318.25,319.9,318.29,316.52,319.26,145325.0,145325.0
2020-05-29T15:35:00+0000,318.25,319.9,318.29,316.52,319.26,147426.0,147426.0
2020-05-29T15:35:44+0000,318.25,319.9,318.22,316.52,319.26,147726.0,147726.0
2020-05-29T16:30:02+0000,318.25,319.9,318.81,316.52,319.26,172055.0,172055.0
2020-05-29T16:30:43+0000,318.25,319.9,318.885,316.52,319.26,172155.0,172155.0
2020-05-29T16:45:33+0000,318.25,319.9,318.44,316.52,319.26,175528.0,175528.0
2020-05-30T00:00:00+0000,318.99,318.99,317.94,318.99,318.99,38399532.0,38399532.0
2020-06-01T17:05:02+0000,317.94,321.61,321.365,316.89,317.49,100405.0,100405.0
2020-06-01T17:15:54+0000,317.94,322.04,322.04,316.89,317.49,102678.0,102678.0
2020-06-01T17:25:21+0000,317.94,322.19,322.1,316.89,317.49,104742.0,104742.0
2020-06-02T00:00:00+0000,321.775,321.775,321.85,321.775,321.775,20254653.0,20254653.0
2020-06-02T14:50:27+0000,321.85,322.44,320.42,320.28,320.97,133849.0,133849.0
2020-06-02T15:00:40+0000,321.85,322.44,320.39,320.28,320.97,145050.0,145050.0
2020-06-02T15:05:01+0000,321.85,322.44,319.99,319.42,320.97,149786.0,149786.0
2020-06-02T15:05:52+0000,321.85,322.44,320.065,319.42,320.97,152822.0,152822.0
2020-06-02T15:10:02+0000,321.85,322.44,319.215,319.18,320.97,157441.0,157441.0
2020-06-02T15:10:48+0000,321.85,322.44,319.55,319.18,320.97,158441.0,158441.0
2020-06-02T15:15:39+0000,321.85,322.44,319.54,318.99,320.97,161553.0,161553.0
2020-06-02T15:25:06+0000,321.85,322.44,319.48,318.99,320.97,169279.0,169279.0
2020-06-02T15:35:34+0000,321.85,322.44,319.68,318.99,320.97,171176.0,171176.0
2020-06-02T15:45:41+0000,321.85,322.44,320.1,318.99,320.97,174218.0,174218.0
2020-06-02T15:50:27+0000,321.85,322.44,320.1,318.99,320.97,175618.0,175618.0
2020-06-02T15:55:56+0000,321.85,322.44,320.05,318.99,320.97,176277.0,176277.0
2020-06-02T16:10:41+0000,321.85,322.44,320.35,318.99,320.97,179438.0,179438.0
2020-06-02T16:15:11+0000,321.85,322.44,320.31,318.99,320.97,180403.0,180403.0
2020-06-02T16:20:00+0000,321.85,322.44,320.355,318.99,320.97,181729.0,181729.0
2020-06-02T16:20:50+0000,321.85,322.44,320.575,318.99,320.97,181929.0,181929.0
2020-06-02T16:25:47+0000,321.85,322.44,320.615,318.99,320.97,182829.0,182829.0
2020-06-04T15:00:46+0000,325.12,325.58,324.575,324.225,324.585,63197.0,63197.0
2020-06-04T15:05:00+0000,325.12,325.58,324.65,324.225,324.585,64879.0,64879.0
2020-06-04T15:05:40+0000,325.12,325.58,324.6,324.225,324.585,70239.0,70239.0
2020-06-04T15:20:59+0000,325.12,325.58,323.38,322.97,324.585,88561.0,88561.0
2020-06-04T15:25:19+0000,325.12,325.58,323.025,322.94,324.585,89764.0,89764.0
2020-06-04T15:30:01+0000,325.12,325.58,323.49,322.94,324.585,91010.0,91010.0
2020-06-04T15:30:26+0000,325.12,325.58,323.25,322.94,324.585,91014.0,91014.0
2020-06-04T15:40:00+0000,325.12,325.58,323.85,322.94,324.585,96168.0,96168.0
2020-06-04T15:45:56+0000,325.12,325.58,324.07,322.94,324.585,101316.0,101316.0
2020-06-04T15:50:49+0000,325.12,325.58,323.765,322.94,324.585,103396.0,103396.0
2020-06-04T15:55:50+0000,325.12,325.58,323.995,322.94,324.585,104707.0,104707.0
2020-06-04T16:00:04+0000,325.12,325.58,324.16,322.94,324.585,105727.0,105727.0
2020-06-04T16:05:51+0000,325.12,325.58,323.9,322.94,324.585,107037.0,107037.0
2020-06-04T16:10:59+0000,325.12,325.58,323.81,322.94,324.585,108342.0,108342.0
2020-06-04T16:15:01+0000,325.12,325.58,323.66,322.94,324.585,110305.0,110305.0
2020-06-04T16:15:48+0000,325.12,325.58,323.645,322.94,324.585,110815.0,110815.0
2020-06-04T16:20:43+0000,325.12,325.58,323.945,322.94,324.585,112115.0,112115.0
2020-06-04T16:25:52+0000,325.12,325.58,324.135,322.94,324.585,114215.0,114215.0
2020-06-04T16:30:55+0000,325.12,325.58,323.71,322.94,324.585,116655.0,116655.0
2020-06-04T16:35:43+0000,325.12,325.58,323.16,322.94,324.585,128752.0,128752.0
2020-06-04T16:40:01+0000,325.12,325.58,323.09,322.94,324.585,129463.0,129463.0
2020-06-04T16:45:53+0000,325.12,325.58,323.01,322.94,324.585,132493.0,132493.0
2020-06-04T16:50:15+0000,325.12,325.58,322.92,322.785,324.585,133004.0,133004.0
2020-06-04T16:55:49+0000,325.12,325.58,322.86,322.785,324.585,133384.0,133384.0
2020-06-04T17:00:40+0000,325.12,325.58,322.635,322.46,324.585,137438.0,137438.0
2020-06-04T17:05:40+0000,325.12,325.58,322.81,322.46,324.585,138956.0,138956.0
2020-06-04T17:10:19+0000,325.12,325.58,323.155,322.46,324.585,140365.0,140365.0
2020-06-04T17:15:00+0000,325.12,325.58,322.96,322.46,324.585,141295.0,141295.0
2020-06-04T17:15:42+0000,325.12,325.58,323.025,322.46,324.585,141600.0,141600.0
2020-06-04T17:30:02+0000,325.12,325.58,322.765,322.46,324.585,144095.0,144095.0
2020-06-04T17:30:48+0000,325.12,325.58,322.94,322.46,324.585,144795.0,144795.0
2020-06-04T17:35:01+0000,325.12,325.58,323.065,322.46,324.585,148306.0,148306.0
2020-06-04T17:45:21+0000,325.12,325.58,323.73,322.46,324.585,151676.0,151676.0
2020-06-04T17:50:52+0000,325.12,325.58,323.54,322.46,324.585,153591.0,153591.0
2020-06-04T17:55:48+0000,325.12,325.58,323.745,322.46,324.585,155021.0,155021.0
2020-06-04T18:10:01+0000,325.12,325.58,323.63,322.46,324.585,156954.0,156954.0
2020-06-04T18:15:10+0000,325.12,325.58,323.55,322.46,324.585,158124.0,158124.0
2020-06-04T18:25:26+0000,325.12,325.58,323.235,322.46,324.585,160149.0,160149.0
2020-06-04T18:30:45+0000,325.12,325.58,322.95,322.46,324.585,161189.0,161189.0
2020-06-04T18:40:47+0000,325.12,325.58,322.01,322.01,324.585,164162.0,164162.0
2020-06-04T18:45:55+0000,325.12,325.58,321.835,321.7,324.585,165672.0,165672.0
2020-06-04T18:50:01+0000,325.12,325.58,321.805,321.7,324.585,167429.0,167429.0
2020-06-04T18:50:58+0000,325.12,325.58,321.695,321.665,324.585,168096.0,168096.0
2020-06-04T18:55:00+0000,324.68,324.95,321.95,324.61,324.85,168896.0,168896.0
