rentabilidades,montecarlo,lstm
0.1031446686122921,0.14993421706092083,0.22098569388713393
0.1084260385729292,0.1536481974048961,0.23567553189652685
0.2349408491843945,0.24482729127923353,0.2814826924113986
0.36039042357998174,0.3481793957804457,0.3409785197225204
0.2759855428679445,0.2782010975262165,0.3326508219742308
0.38253877883708065,0.3694331424457386,0.38124592011046604
0.3969537580836042,0.38439677818138634,0.40306755309528003
0.23234875875667949,0.2353347729815035,0.3539831978579374
0.3986778236555031,0.3818543979892902,0.4135507023898371
0.4886135065774604,0.46861216571708086,0.4602677449475121
0.6426535668241344,0.6165735568254348,0.5377868095316223
0.8463166933025776,0.8197202128129906,0.6511263375717291
0.7047749785832962,0.6838456342047101,0.6287640693039545
1.2352376252002815,1.2109730148218771,0.8929516122538058
1.2643001836853922,1.2438778493040277,0.9719742067315681
1.6797261408307742,1.6562943603589522,1.2464953749658279
1.9452802519723895,1.9238813290818322,1.4868073788614289
2.1770118840344046,2.16087947010669,1.740521077786748
2.4112780904975333,2.397604956055634,2.023397226459301
2.3690239148844525,2.366691838741233,2.14228245470425
