date_day,close,high,last,low,open,max_volume,avg_volume
2020-05-29,201.22,200.9,196.01,195.325,197.14,43260.0,43260.0
2020-05-30,199.948001416,200.92,196.49,194.65,197.23,3822562.0,3822562.0
2020-06-01,196.49,201.76,199.97,195.29,197.1,23497.0,23469.0
2020-06-02,199.93,204.41,203.91,201.47,203.69,2230846.0,36125.0
2020-06-04,210.57,214.99,214.9,207.975,209.52,68903.0,44591.0
2020-06-05,214.82,222.75,222.005,218.39,222.75,3489969.0,80009.5
2020-06-06,214.82,222.98,217.92,217.66,222.0,4725972.0,4725972.0
2020-06-08,217.92,222.195,221.445,218.45,220.28,66327.0,41066.5
2020-06-09,220.81,222.2646,220.81,218.24,220.02,3251582.0,39000.0
2020-06-10,220.81,220.02,218.1,215.16,215.74,2454068.0,2454068.0
2020-06-15,201.78,206.73,206.73,195.275,195.73,70436.0,50194.0
2020-06-16,206.31,214.75,214.61,214.605,214.75,3456607.0,5135.0
2020-06-17,209.59,214.98,210.26,209.76,214.98,3080496.0,21288.0
2020-06-18,209.59,210.79,207.09,205.44,210.0,1783500.0,29883.5
2020-06-19,206.19,207.26,207.065,206.78,206.78,2034998.0,25157.0
2020-06-20,203.84,207.4228,201.63,200.97,207.05,4884876.0,4884876.0
2020-06-22,201.63,204.36,204.36,200.885,200.885,26854.0,16566.0
2020-06-23,203.42,207.44,207.18,206.39,206.39,1797611.0,24706.0
2020-06-24,204.78,207.51,204.78,203.64,206.5,2445561.0,22143.0
2020-06-25,204.78,207.365,207.05,197.69,202.34,2754467.0,54325.0
2020-06-26,207.1,207.39,207.1,199.19,199.19,3440604.0,252674.0
2020-06-27,207.1,200.2441,189.19,188.5075,199.0,9518967.0,9518967.0
2020-06-29,189.19,193.86,193.86,189.535,189.955,108221.0,72456.0
2020-06-30,193.47,198.4,198.27,193.7,193.87,3726559.0,31275.0
2020-07-01,197.62,199.655,199.655,198.36,198.36,3101555.0,31746.5
2020-07-02,197.62,202.955,202.91,202.3,202.52,2620446.0,27519.0
2020-07-03,197.57,203.0,197.4,197.13,202.5,2698844.0,2698844.0
2020-07-06,197.4,207.75,207.75,201.36,201.36,116760.0,72100.0
2020-07-07,207.36,207.79,207.36,204.925,205.375,3564600.0,29591.0
2020-07-08,199.36,203.21,203.21,199.2,199.2,52478.0,26317.0
2020-07-09,202.25,203.25,202.5,202.5,202.5,2787400.0,50359.0
2020-07-10,202.25,206.205,206.125,197.295,202.11,3158000.0,33948.0
2020-07-11,196.83,206.32,205.56,196.83,196.87,4411600.0,4411600.0
2020-07-13,205.56,212.95,212.95,208.92,208.92,84122.0,43682.0
2020-07-14,208.88,214.2,213.73,211.6,214.2,131272.0,64504.0
2020-07-15,214.01,225.03,224.425,224.395,224.51,5181500.0,165939.0
2020-07-16,216.9,225.24,220.375,214.69,224.37,12482000.0,88303.5
2020-07-17,216.9,220.46,215.14,214.09,214.35,5760900.0,21668.0
2020-07-18,214.67,215.17,211.41,211.25,214.9,3614000.0,3614000.0
2020-07-20,211.41,213.005,213.005,210.78,210.78,86842.0,48072.0
2020-07-21,211.71,213.765,213.765,212.6,212.6,2263300.0,24653.0
2020-07-22,212.02,213.81,212.02,210.39,212.25,3393500.0,167839.0
2020-07-23,212.02,211.0,206.0,205.35,210.5,4974200.0,122331.0
2020-07-24,206.0,206.02,204.69,203.08,205.1,4088636.0,42975.0
2020-07-25,203.02,204.93,201.47,201.32,203.0,3191549.0,3191549.0
2020-07-27,201.47,204.11,204.085,200.46,200.46,61421.0,38939.0
2020-07-28,203.02,204.18,203.56,201.9,202.0,2601182.0,22855.0
2020-07-29,203.02,203.89,203.89,201.58,201.91,2139771.0,23417.0
2020-07-30,202.58,203.89,202.58,199.62,201.7,2634961.0,28000.0
2020-07-31,202.58,199.99,199.71,199.4,199.56,3057922.0,15760.0
2020-08-03,197.96,199.86,199.86,198.8,198.8,41160.0,22569.0
2020-08-04,199.39,201.705,201.65,199.52,199.52,2295652.0,17216.5
2020-08-05,201.64,204.79,204.775,203.195,203.3,1944676.0,31619.0
2020-08-06,204.52,206.2,206.2,204.36,204.625,2323194.0,23783.0
2020-08-07,204.52,208.54,208.37,203.83,205.0,1882367.0,21206.0
2020-08-08,204.25,208.8,208.27,202.45,203.48,3074961.0,3074961.0
2020-08-10,208.27,210.64,210.55,209.23,209.23,88769.0,50304.0
2020-08-11,209.38,216.88,216.82,212.8,212.83,2432770.0,58975.0
2020-08-12,211.06,216.95,215.715,214.96,214.96,4042742.0,37384.0
2020-08-13,212.13,215.95,212.13,210.25,214.7,2439593.0,12903.0
2020-08-14,212.13,212.2,209.26,207.69,210.41,2219859.0,60872.0
2020-08-15,208.39,209.48,207.97,206.61,207.46,2287572.0,2287572.0
2020-08-17,207.97,207.66,207.315,207.23,207.23,240086.0,151660.0
2020-08-18,207.97,207.85,203.39,203.25,207.0,3895932.0,170264.5
2020-08-19,203.07,206.075,206.075,202.015,203.45,3067854.0,29489.5
2020-08-20,203.02,206.1,203.17,201.77,202.4,2458524.0,25072.0
2020-08-21,203.02,203.28,203.12,200.34,200.76,1764214.0,12950.0
2020-08-22,201.85,203.35,202.43,199.82,200.11,1781141.0,1781141.0
2020-08-24,202.43,207.395,207.395,202.935,203.1,89025.0,56262.0
2020-08-25,207.34,210.415,210.28,209.72,209.725,3097432.0,24248.0
2020-08-26,207.34,210.49,207.215,205.64,209.99,2627906.0,14320.0
2020-08-27,207.22,212.84,212.75,206.51,206.93,2563236.0,20515.0
2020-08-28,210.15,213.0,211.59,211.53,211.73,3604141.0,33583.0
2020-08-29,210.15,212.0,207.71,207.09,211.89,3697406.0,3697406.0
2020-08-31,207.71,206.31,206.245,206.21,206.21,50007.0,28367.0
2020-09-01,206.4503575587,206.64,206.64,203.74,205.5,3046152.0,45256.0
2020-09-02,205.46,209.49,209.41,207.3,207.66,2458801.0,31225.0
2020-09-03,210.04,215.165,215.04,211.5,211.5,3565242.0,42158.0
2020-09-04,210.04,215.23,213.24,210.0,211.75,3533485.0,40127.5
2020-09-05,207.56,213.35,210.94,205.32,210.89,3668891.0,3668891.0
2020-09-08,210.94,209.565,208.92,208.92,209.52,125953.0,78784.0
2020-09-09,210.94,209.96,204.68,203.86,209.51,4513998.0,40345.0
2020-09-10,202.22,205.31,205.12,203.0,203.0,36718.0,26202.0
2020-09-11,202.22,205.35,201.9,200.27,203.73,2510274.0,33882.0
2020-09-12,200.01,201.91,200.92,198.95,200.24,2376385.0,2376385.0
2020-09-14,200.92,203.21,203.21,203.21,203.21,88930.0,42188.0
2020-09-15,201.34,203.3,202.145,202.0,203.3,2756891.0,82727.0
2020-09-16,198.0,203.73,203.68,198.125,198.695,85158.0,52117.0
2020-09-17,200.68,203.8,200.68,198.07,198.49,3571873.0,43622.0
2020-09-18,200.68,199.89,196.47,194.76,198.21,4274772.0,42548.0
2020-09-19,194.83,196.65,194.86,192.3848,195.01,9066647.0,9066647.0
2020-09-21,194.86,194.135,194.1,189.47,190.02,76063.0,48942.0
2020-09-22,194.86,196.12,195.84,193.625,193.625,4871299.0,39326.0
2020-09-23,194.0,196.14,192.865,192.11,194.0,3355768.0,14228.0
2020-09-24,191.62,197.415,197.33,188.695,192.0,3116142.0,94717.5
2020-09-25,195.11,197.4594,195.17,192.48,192.64,5114566.0,45169.0
2020-09-26,195.11,195.39,194.95,189.6085,192.96,3105989.0,3105989.0
2020-09-28,194.95,201.83,201.83,197.84,197.87,60244.0,34563.5
2020-09-29,199.07,201.865,199.07,197.935,198.455,3277225.0,20466.0
